"OD","LOC","SHK","OAL","2 Flute","4 Flute","2 Flute - PowerA","4 Flute - PowerA"
"3","12","3","38","303-102","303-302","303-102-1","303-302-1"
"4","14","4","50","303-104","303-304","303-104-1","303-304-1"
"5","16","5","50","303-106","303-306","303-106-1","303-306-1"
"6","19","6","63","303-108","303-308","303-108-1","303-308-1"
"8","19","8","63","303-110","303-310","303-110-1","303-310-1"
"10","22","10","70","303-112","303-312","303-112-1","303-312-1"
"12","25","12","75","303-114","303-314","303-114-1","303-314-1"
"16","32","16","88","303-116","303-316","303-116-1","303-316-1"
