"SHK","Degree","Small OD","LOC","OAL","3 Flute - Uncoated","3 Flute Power A"
"1/4","5","1/8","3/4","3","208-102","208-102-1"
"1/4","7","1/8","1/2","3","208-104","208-104-1"
"1/4","10","3/32","1/2","3","208-106","208-106-1"
"3/8","5","1/8","1-1/2","3-1/2","208-108","208-108-1"
"3/8","7","1/8","3/4","3-1/2","208-110","208-110-1"
"3/8","10","1/8","3/4","3-1/2","208-112","208-112-1"
"1/2","5","1/4","1-1/4","4","208-114","208-114-1"
"1/2","7","3/16","1-1/4","4","208-116","208-116-1"
"1/2","10","1/8","1","4","208-118","208-118-1"
